合約院所名單0710_1_處理-個資-欄位
鄉鎮市區,機構類別,合約醫療院所名稱,十碼代碼,公費疫苗各項常規疫苗,公費疫苗卡介苗,公費疫苗其他_請自行填列,自費疫苗A型肝炎疫苗幼兒,自費疫苗A型肝炎疫苗成人,自費疫苗B型肝炎疫苗,自費疫苗肺炎鏈球菌疫苗13PCV,自費疫苗肺炎鏈球菌疫苗23PPV,自費疫苗輪狀病毒疫苗,自費疫苗Tdap疫苗,自費疫苗其他_請自行填列,接種時間,洽詢電話,地址
中西區,衛生所,臺中巿中西區衛生所,2303240013,V,V,A型肝炎疫苗，育齡婦女MMR,,,,,,,,,每週二、三上午08:30-11:30,04-22223811,臺中市西區民權路105號
中西區,醫療院所,澄清綜合醫院,1517011112,V,V,B型肝炎免疫球蛋白,V,V,V,V,,V,,"HBIG,MMR,VAR,HPV,帶狀皰疹",1、 每週一至六(小兒科時間)，上午09：00~12：00，下午14：00~17：30，晚上18：00~21：30，2、日本腦炎每週二、四,04-24632000,臺中市中區平等路139號
中西區,醫療院所,行政院衛生署臺中醫院,117030010,V,V,B型肝炎免疫球蛋白,V,V,V,V,,V,V,"HBIG,MMR,VAR,HPV,帶狀皰疹,旅遊醫學門診",常規疫苗：小兒科門診時間，卡介苗：隔週星期四上午10點前,04-22294411,臺中市西區三民路一段199號
中西區,醫療院所,東平內兒科診所,3517010537,V,,,,V,V,V,,,,"HPV,帶狀皰疹",1、 週一至週五，早上08:30~12:00，下午14:30~18:00，晚上19:20~21:30，2、 週六，早上08:30~12:00，下午16:00~21:30(接種疫苗需預約),04-22224171,臺中市中區中正路311號
中西區,醫療院所,惠生小兒科診所,3517033567,V,,,V,V,V,,,V,,,1、 週一至週六，上午09:00~12:00，下午17:00~21:00； 2、 週六晚上、週日休診,04-22028696,臺中市西區五權路201號1樓
中西區,醫療院所,蔡小兒診所,3517030575,V,,,,,V,,,V,,"HPV,帶狀皰疹",1、 週一至週六，上午08:00~12:00，下午15:00~21:00,04-23726497,臺中市西區五權路2-62號
中西區,醫療院所,鄭煒達診所,3517031018,V,,,V,V,V,V,,V,,HPV,週一至週六，上午08:30~12:00，下午15:00~18:00，晚上07:00-10:00,04-23235136,臺中市西區公益路214號
中西區,醫療院所,吳榮峰小兒科診所,3517031554,V,,,V,V,V,,,V,,"HPV,帶狀皰疹",週一至週六，上午9:00-12:00，下午15:00-18:00，晚上19:00-21:30,04-23108006,臺中市西區公益路1段252號
中西區,醫療院所,劉彥山診所,3517030799,V,,,V,V,V,V,,V,,"HPV,帶狀皰疹",1、週一至週六，上午08:30~12:00，下午15:00~18:00，晚上19:00~21:30，2、週六晚上休診,04-24726518,臺中市西區向上路1段361號
中西區,醫療院所,賴永章小兒科,3517033423,V,,,V,V,V,V,,V,,"HPV,帶狀皰疹",1、 每週一、二、四、五，上午08:30~12:00，下午15:00~18:00，晚上19:00~21:00，2、 每週三、六，上午08:30~12:00,04-23714599,臺中市西區大全街41號
中西區,醫療院所,曙光小兒科診所,3517033361,V,,,V,V,V,V,,V,,"HPV,帶狀皰疹",1、週一至週六，上午08:30~12:00，晚上07:00-9:00，2、週五晚上周六全休診，3、周日上午08:00~12:00,04-23758822,臺中市西區五權西三街81號
中西區,醫療院所,宏輝內兒科診所,3517030100,V,,,,,,,,,,,1、週一至週五，上午9:00-12:00，晚上6:00-9:00，2、週六，上午9:00-12:00，下午3:00-6:00(接種疫苗需事前預約),04-23718695,臺中市西區南屯路1段36-1號
中西區,醫療院所,美麗兒小兒科診所,3517033843,V,,,V,V,V,V,,V,,HPV,1、 週一至週日，上午0800:~12:00，下午15:00~18:00，晚上19:00~21:30，2、週六休診,04-23010333,臺中市西區向上路1段246號
中西區,醫療院所,康貝兒小兒科診所,3517034135,V,,,V,V,V,V,,V,,HPV,1、 週一至週六，上午08:00~12:00，下午15:00~18:00，晚上18:30~21:30，2、 週日休診,04-24720515,臺中市西區向上路1段553號
中西區,醫療院所,邱永明小兒科診所,3517031036,V,,,V,V,V,V,,V,,"HPV,帶狀皰疹",1、 週一至週五，上午08:00~12:00，下午15:00~21:00；2、週六上午08:00~12:00，下午15:00~17:30,04-23718816,臺中市西區忠明南路465號
中西區,醫療院所,佳慶診所,3517034368,V,,,V,V,V,,,V,,"HPV,帶狀皰疹",1、 週一至週六，上午08:30~12:00，下午15:00~18:00，晚上19:00~21:00；2、 週六下午晚上、週日休診；3、日本腦炎周三及週六施打,04-23208989,臺中市西區東興路三段272-1號
中西區,醫療院所,吳東洀小兒科診所,3517030968,V,,,V,V,V,V,,V,,"HPV,帶狀皰疹",1、 週一至週六，上午08:30~12:00，下午15:00~18:00，晚上19:00~22:00；2、週四上午休診；3、週六晚上休診,04-23029672,臺中市美村路1段362號
中西區,醫療院所,王道文聯合門診，王道文小兒科診所,3517031867,V,,,V,V,V,,,,,,(請先洽詢)1、 週一至週六，上午08:00~12:00,04-23147939,臺中市西區太原路1段38號1樓
中西區,醫療院所,阮春閔小兒科診所,3517031947,V,,,V,V,V,,,V,,HPV,1、 週一至週六，上午08:00~12:00，下午14:30~18:00，晚上18:30~21:30,04-23757456,臺中市西區南屯路1段148號1樓
中西區,醫療院所,徐小兒科診所,3517030146,V,,,,,,,,,,,1、 週一至週六，上午08:00~12:00，下午14:30~19:30,04-23134151,臺中市西區華美街1段206-1號
中西區,醫療院所,曾憲彰耳鼻喉科診所,3517034224,V,,,V,V,V,V,,V,,"HPV,帶狀皰疹",1、週一至週五，上午08:00~12:00,04-23786066,臺中市西區五權西路1段275號1樓
中西區,醫療院所,顏子淳耳鼻喉科,3503240198,V,,,,,,,,,,,1、 週一至週日，上午08:30~12:00，下午15:00~18:00，晚上19:00~21:30，2、週六全天休診,04-23206968,臺中市西區公益路190號
中西區,醫療院所,美村婦產科診所,3517033665,,,B型肝炎疫苗，B型肝炎免疫球蛋白,,,,,,,,B型肝炎免疫球蛋白,(需先洽詢)  週一至週六，上午8:30-11:30，下午14:00-17:00，晚上18:00-21:00,04-23787212,臺中市西區美村路1段588號
中西區,醫療院所,黃迎凱婦產科診所,3517012380,,,B型肝炎疫苗，B型肝炎免疫球蛋白,,,,,,,,"HPV,帶狀皰疹",(需先洽詢) 1、週一至週五，09:00-12:00，15:00-18:00，18:30-21:30；2、週六下午、週日休診,04-22238388,臺中市中區光復路56號
中西區,醫療院所,丁鴻志婦產科診所,3517031410,V,,B型肝炎疫苗，B型肝炎免疫球蛋白,,,V,,,,,HPV,1、週一至週五，09:00-12:00，15:00-18:00，19:00-21:30；2、週三晚上休診；3、週二、五上午休診；4、周六下午休診,04-23207082,臺中市西區中港路1段133號3樓
中西區,醫療院所,樂恩診所,3503240661,V,,,V,,V,,,V,,HPV,1、周一至周日，上午08:30~12:00，下午14:30~17:30，晚上18:30~21:00， 2、周三下午休診， 3、周四休診,04-22221256,臺中市西區五權路29-8號
東區,衛生所,臺中市東區衛生所,2317020010,V,V,A型肝炎疫苗，育齡婦女MMR，輪狀病毒疫苗,,,,,,,,,常規疫苗每週二、三(8:30~11:30),04-22834121,臺中市東區信義街142號
東區,合約院所,臺安醫院,1517021074,V,V,,V,V,V,V,,V,,HPV(2.4.9價)、水痘疫苗,卡介苗:每週一(14:00~15:30)及每週五(09:00~10:30)，其他疫苗每週一至五門診時段,04-23602000,臺中市東區進化路203號
東區,合約院所,中國醫藥大學附設醫院，台中東區分院,1317020519,V,,,V,V,V,V,,V,,帶狀皰疹疫苗,兒科門診時段均可施打,04-22121058,臺中市東區自由路三段296號
東區,合約院所,陳國華小兒科診所,3517020775,V,,,V,V,V,V,,V,,帶狀皰疹疫苗、子宮頸疫苗,星期一至五門診時段,04-23601245,臺中市東區進化路218-1號
